t=95000 ns | x_in=     0 | y_out=            0
t=255000 ns | x_in=  8816 | y_out=   2103881451
t=415000 ns | x_in= 14734 | y_out=   6350912922
t=575000 ns | x_in=-11557 | y_out=   7740911403
t=735000 ns | x_in=  1879 | y_out=   8313522813
t=895000 ns | x_in=-14265 | y_out=   9092735541

t=1055000 ns | x_in= -8816 | y_out=   6504318799
t=1215000 ns | x_in=-10268 | y_out=   7639108081
t=1375000 ns | x_in=-11557 | y_out=   8605774633
t=1535000 ns | x_in=-10268 | y_out=   9729441070
t=1695000 ns | x_in= -8816 | y_out=   3699642419
t=1855000 ns | x_in=-14265 | y_out=   6986095691
t=2015000 ns | x_in=  1879 | y_out=   6337880358
t=2175000 ns | x_in=-11557 | y_out=   5929360538
t=2335000 ns | x_in= 14734 | y_out=  12364416327
t=2495000 ns | x_in=  8816 | y_out=   8938296522
